"studyday","timeperiod","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
12,72,"20x Washed","Interceptor®",1,36,4,0,0,4,0,40
12,72,"20x Washed","Interceptor®G2",2,15,2,0,0,2,0,17
12,72,"Unwashed","Interceptor®",1,4,2,0,0,2,0,6
13,72,"Unwashed","Interceptor®G2",2,2,5,0,0,5,0,7
13,72,"20x Washed","Interceptor®",1,10,13,0,0,13,0,23
13,72,"Unwashed","Interceptor®",1,2,1,0,0,1,0,3
13,72,"Unwashed","Interceptor®",1,1,0,0,0,0,0,1
13,72,"Control","Control",0,3,0,0,0,0,0,3
13,72,"20x Washed","Interceptor®G2",2,7,14,0,3,17,3,24
13,72,"20x Washed","Interceptor®G2",2,11,15,2,2,17,4,30
13,72,"Control","Control",0,8,1,0,0,1,0,9
13,72,"Unwashed","Interceptor®G2",2,4,7,0,0,7,0,11
13,72,"20x Washed","Interceptor®",1,16,1,0,0,1,0,17
14,72,"Control","Control",0,3,4,1,0,4,1,8
14,72,"Unwashed","Interceptor®",1,4,0,0,1,1,1,5
14,72,"20x Washed","Interceptor®",1,24,10,0,1,11,1,35
14,72,"Control","Control",0,3,1,3,0,1,3,7
14,72,"20x Washed","Interceptor®G2",2,22,10,1,0,10,1,33
14,72,"Unwashed","Interceptor®G2",2,6,8,0,1,9,1,15
14,72,"Unwashed","Interceptor®",1,13,1,0,0,1,0,14
14,72,"20x Washed","Interceptor®G2",2,41,16,0,2,18,2,59
14,72,"Unwashed","Interceptor®G2",2,9,5,0,0,5,0,14
14,72,"20x Washed","Interceptor®",1,37,1,0,0,1,0,38
15,72,"20x Washed","Interceptor®G2",2,28,19,0,1,20,1,48
15,72,"20x Washed","Interceptor®G2",2,39,22,0,0,22,0,61
15,72,"20x Washed","Interceptor®",1,114,37,0,0,37,0,151
15,72,"20x Washed","Interceptor®",1,28,25,1,0,25,1,54
15,72,"Control","Control",0,5,0,0,0,0,0,5
