"day","month","year","trialday","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
"30","Nov","2020",25,"Control","untreated",0,2,0,0,0,0,0,2
"04","Jan","2021",1,"Control","untreated",0,1,0,0,0,0,0,1
"02","Feb","2021",26,"Control","untreated",0,0,0,1,0,0,1,1
"16","Mar","2021",14,"Control","untreated",0,0,0,0,0,0,0,0
"27","Jan","2021",21,"Control","untreated",0,0,0,1,0,0,1,1
"26","Mar","2021",23,"0","interceptor",1,0,0,0,0,0,0,0
"27","Nov","2020",23,"0","interceptor",1,0,0,1,0,0,1,1
"18","Jan","2021",13,"Control","untreated",0,0,0,1,0,0,1,1
"22","Jun","2021",8,"Control","untreated",0,0,0,3,0,0,3,3
"22","Nov","2021",13,"0","interceptorG2",3,0,0,0,0,0,0,0
"13","Jan","2021",9,"Control","untreated",0,2,0,0,0,0,0,2
"27","Jun","2020",36,"Control","untreated",0,2,0,2,0,0,2,4
"17","May","2021",25,"0","olysetplus",2,3,0,0,0,0,0,3
"11","Dec","2020",35,"Control","untreated",0,1,0,1,0,0,1,2
"24","May","2021",31,"Control","untreated",0,0,0,2,0,0,2,2
"10","Dec","2020",34,"0","olysetplus",2,1,1,0,0,1,0,2
"22","May","2021",30,"0","interceptorG2",3,2,4,0,1,5,1,7
"20","May","2021",28,"Control","untreated",0,3,0,1,0,0,1,4
"19","Nov","2020",16,"0","interceptorG2",3,0,1,2,0,1,2,3
"29","Jan","2021",23,"Control","untreated",0,0,0,0,0,0,0,0
"29","Mar","2021",25,"Control","untreated",0,0,0,0,0,0,0,0
"06","Jun","2020",18,"Control","untreated",0,0,0,0,0,0,0,0
"24","Apr","2021",6,"Control","untreated",0,2,0,1,0,0,1,3
"08","Jun","2020",19,"Control","untreated",0,0,0,0,0,0,0,0
"27","May","2020",9,"0","interceptorG2",3,0,0,0,0,0,0,0
"23","Jan","2021",18,"0","interceptor",1,0,0,0,0,0,0,0
"11","Feb","2021",34,"Control","untreated",0,0,0,0,0,0,0,0
"01","Feb","2021",25,"Control","untreated",0,0,0,0,0,0,0,0
"12","Mar","2021",11,"Control","untreated",0,1,0,0,0,0,0,1
"23","Jan","2021",18,"Control","untreated",0,0,0,0,0,0,0,0
"02","Jun","2020",14,"Control","untreated",0,0,0,0,0,0,0,0
"25","Jun","2021",11,"0","interceptor",1,2,1,2,0,1,2,5
"02","Dec","2020",27,"Control","untreated",0,1,0,1,0,0,1,2
"05","Jul","2021",19,"Control","untreated",0,2,1,2,0,1,2,5
"25","Nov","2020",21,"Control","untreated",0,2,0,0,0,0,0,2
"17","May","2021",25,"Control","untreated",0,1,0,1,0,0,1,2
"07","Jan","2021",4,"0","interceptorG2",3,4,0,1,0,0,1,5
"05","Jun","2020",17,"Control","untreated",0,0,0,0,0,0,0,0
"27","Jun","2020",36,"0","olysetplus",2,3,6,2,0,6,2,11
"13","May","2021",22,"0","interceptor",1,1,0,2,0,0,2,3
"28","May","2020",10,"Control","untreated",0,0,0,0,0,0,0,0
"26","Jun","2020",35,"0","olysetplus",2,0,0,2,0,0,2,2
"19","Mar","2021",17,"0","interceptor",1,0,0,0,0,0,0,0
"07","Dec","2020",31,"Control","untreated",0,1,0,0,0,0,0,1
"06","Feb","2021",30,"Control","untreated",0,0,0,0,0,0,0,0
"12","Jan","2021",8,"Control","untreated",0,0,0,3,0,0,3,3
"28","May","2021",35,"Control","untreated",0,5,0,1,0,0,1,6
"10","Dec","2020",34,"Control","untreated",0,0,0,0,0,0,0,0
"27","May","2021",34,"Control","untreated",0,5,0,1,0,0,1,6
"21","May","2021",29,"Control","untreated",0,5,0,0,0,0,0,5
"14","Jan","2021",10,"Control","untreated",0,2,1,1,0,1,1,4
"12","Feb","2021",35,"Control","untreated",0,0,0,1,0,0,1,1
"01","Jun","2020",13,"Control","untreated",0,0,0,0,0,0,0,0
"22","May","2021",30,"Control","untreated",0,7,0,1,0,0,1,8
"20","Mar","2021",18,"0","interceptor",1,0,0,0,0,0,0,0
"28","Jan","2021",22,"Control","untreated",0,1,0,1,0,0,1,2
"15","Mar","2021",13,"Control","untreated",0,0,0,0,0,0,0,0
